cylinders,fuel,mileage,body,doors,drivetrain,price
3.0,3,4.0,6,4.0,0,33071.0
4.0,3,5.0,6,4.0,0,52445.0
4.0,3,7.0,6,4.0,3,40940.0
6.0,3,6.0,6,4.0,1,50184.0
6.0,3,186.0,0,3.0,2,68095.0
4.0,5,4.0,6,4.0,0,50599.0
6.0,3,9.0,5,4.0,3,37946.0
4.0,3,5.0,6,4.0,2,25515.0
4.0,3,10.0,5,4.0,0,36499.0
8.0,3,13.0,6,4.0,0,47280.0
6.0,3,188.0,0,3.0,2,68095.0
8.0,3,5.0,6,4.0,0,46835.0
6.0,3,17.0,0,3.0,2,66375.0
8.0,3,10.0,6,4.0,0,57486.0
4.0,3,12.0,2,4.0,0,56105.0
4.0,4,3.0,7,4.0,0,57545.0
4.0,4,11.0,7,4.0,2,32520.0
4.0,3,5.0,6,4.0,0,35683.0
8.0,3,18.0,7,4.0,3,65075.0
4.0,3,10.0,7,4.0,2,29895.0
4.0,3,73.0,6,4.0,0,38546.0
4.0,4,10.0,6,4.0,0,42790.0
4.0,3,15.0,6,4.0,2,30829.0
6.0,3,15.0,7,4.0,3,35913.0
4.0,3,12.0,2,4.0,0,57835.0
4.0,3,1.0,5,4.0,0,33160.0
4.0,3,5.0,6,4.0,2,24979.0
4.0,4,0.0,6,4.0,0,47234.0
4.0,3,11.0,6,4.0,1,31200.0
4.0,3,1.0,5,4.0,0,41975.0
4.0,4,15.0,6,4.0,0,35744.0
4.0,3,14.0,6,4.0,0,36532.0
4.0,4,9.0,7,4.0,2,30870.0
